date,Region,confirmed,last_day,1_day_change,3_day_change,7_day_change,14_day_change,Population,Infection_rate
2020-01-22,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-01-23,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-01-24,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-01-25,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-01-26,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-01-27,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-01-28,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-01-29,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-01-30,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-01-31,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-02-01,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-02-02,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-02-03,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-02-04,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-02-05,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-02-06,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-02-07,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-02-08,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-02-09,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-02-10,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-02-11,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-02-12,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-02-13,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-02-14,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-02-15,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-02-16,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-02-17,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-02-18,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-02-19,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-02-20,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-02-21,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-02-22,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-02-23,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-02-24,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-02-25,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-02-26,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-02-27,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-02-28,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-02-29,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-03-01,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-03-02,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-03-03,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-03-04,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-03-05,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-03-06,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-03-07,USA_Alabama,0,0,0,0,0,0,4788653,0.0
2020-03-08,USA_Alabama,0,0,0,0,0,0,4788653,0.0
